listing_id,date
97945,2011-10-03
97945,2011-12-20
97945,2012-03-02
97945,2012-05-26
97945,2012-05-29
97945,2012-06-24
97945,2012-07-29
97945,2012-08-01
97945,2012-08-03
97945,2012-09-11
97945,2012-09-20
97945,2012-10-06
97945,2013-03-01
97945,2013-03-19
97945,2013-03-27
97945,2013-04-29
97945,2013-05-20
97945,2013-05-31
97945,2013-06-17
97945,2013-06-20
97945,2013-07-16
97945,2013-09-06
97945,2013-09-24
97945,2014-04-02
97945,2014-06-07
97945,2014-07-20
97945,2014-08-27
97945,2014-09-21
97945,2014-09-23
97945,2014-09-26
97945,2014-10-03
97945,2014-10-06
97945,2014-10-12
97945,2014-10-14
97945,2014-10-26
97945,2014-11-09
97945,2014-12-07
97945,2014-12-11
97945,2014-12-14
97945,2014-12-23
97945,2015-01-01
97945,2015-02-07
97945,2015-03-13
97945,2015-03-21
97945,2015-04-12
97945,2015-04-15
97945,2015-04-20
97945,2015-04-28
97945,2015-05-07
97945,2015-05-13
97945,2015-05-29
97945,2015-06-14
97945,2015-06-29
97945,2015-07-03
97945,2015-09-21
97945,2015-09-22
97945,2015-09-25
97945,2015-09-28
97945,2015-10-02
97945,2015-10-05
97945,2015-10-13
97945,2015-10-31
97945,2015-11-08
97945,2015-12-08
97945,2015-12-28
97945,2016-04-21
97945,2016-05-16
97945,2016-06-06
97945,2016-07-23
97945,2016-08-21
97945,2016-09-17
97945,2016-10-06
97945,2016-10-15
97945,2017-09-07
97945,2017-09-11
97945,2017-09-13
97945,2017-09-16
97945,2017-09-18
97945,2017-09-23
97945,2017-09-26
97945,2017-09-28
97945,2017-10-01
97945,2017-10-03
97945,2017-10-05
97945,2017-10-08
97945,2017-10-19
97945,2017-10-26
97945,2017-12-18
97945,2017-12-22
97945,2017-12-25
97945,2018-03-02
97945,2018-03-04
97945,2018-03-07
97945,2018-05-15
97945,2018-05-17
97945,2018-07-11
97945,2018-07-28
97945,2018-08-07
97945,2018-09-14
97945,2018-09-22
97945,2018-09-25
97945,2018-10-02
97945,2018-10-07
97945,2018-10-10
97945,2018-10-20
97945,2018-10-23
97945,2018-10-30
97945,2018-11-04
97945,2018-11-08
97945,2018-11-17
97945,2018-12-09
97945,2018-12-12
97945,2019-01-15
97945,2019-03-07
97945,2019-03-24
97945,2019-04-11
97945,2019-05-17
97945,2019-06-02
97945,2019-06-06
97945,2019-06-29
97945,2019-07-10
97945,2019-07-18
97945,2019-07-23
97945,2019-09-26
97945,2019-09-30
97945,2019-10-03
114695,2011-07-08
114695,2011-07-31
114695,2011-10-01
114695,2012-07-21
114695,2012-07-27
114695,2012-08-25
114695,2012-09-22
114695,2012-09-24
114695,2012-11-17
114695,2013-06-11
114695,2013-07-03
114695,2013-10-07
114695,2014-05-23
114695,2014-06-02
114695,2014-06-07
114695,2014-09-27
114695,2015-07-27
114695,2015-10-06
114695,2015-10-08
114695,2016-06-22
114695,2016-08-08
114695,2016-09-18
114695,2016-09-22
114695,2016-09-24
114695,2016-10-01
114695,2016-10-03
114695,2017-05-12
114695,2017-07-06
114695,2017-09-20
114695,2017-09-24
114695,2018-04-12
114695,2018-04-30
114695,2018-06-22
114695,2018-06-24
114695,2018-06-28
114695,2018-07-16
114695,2018-07-21
114695,2018-08-03
114695,2018-08-05
114695,2018-08-09
114695,2018-08-25
114695,2018-09-02
114695,2018-09-06
114695,2018-09-19
114695,2018-09-23
114695,2018-10-07
114695,2018-10-10
114695,2019-08-19
114695,2019-09-24
114695,2019-09-28
114695,2019-09-30
114695,2019-10-03
114695,2019-10-06
114695,2022-05-14
114695,2022-09-20
114695,2023-05-26
114695,2023-06-15
114695,2023-07-10
114695,2023-08-03
114695,2023-09-19
114695,2023-09-24
114695,2023-09-26
114695,2023-09-29
114695,2023-10-02
114695,2023-10-06
114695,2023-10-25
114695,2024-04-11
114695,2024-06-15
114695,2024-06-22
114695,2024-06-29
114695,2024-07-29
114695,2024-08-04
114695,2024-08-17
114695,2024-09-01
114695,2024-09-23
114695,2024-10-03
114695,2024-10-05
114695,2024-10-09
114695,2025-04-14
114695,2025-06-26
114695,2025-09-21
114695,2025-09-25
114695,2025-09-28
114695,2025-10-01
127383,2011-06-04
127383,2011-08-01
127383,2011-09-19
127383,2011-11-28
127383,2012-09-17
127383,2012-10-30
127383,2012-12-17
127383,2013-04-17
127383,2013-10-15
127383,2013-12-02
127383,2013-12-16
127383,2014-01-02
127383,2014-05-09
127383,2014-07-22
127383,2014-12-27
127383,2015-04-12
127383,2015-05-10
127383,2015-07-05
127383,2015-10-08
127383,2015-10-14
127383,2016-03-05
127383,2016-03-13
127383,2016-03-27
127383,2016-04-09
127383,2016-05-03
127383,2016-05-08
127383,2016-05-17
127383,2016-05-23
127383,2016-06-04
127383,2016-07-01
127383,2016-07-08
127383,2016-07-11
127383,2016-07-27
127383,2016-08-02
127383,2016-10-23
127383,2016-11-26
127383,2016-12-04
127383,2016-12-07
127383,2016-12-31
127383,2017-01-07
127383,2017-01-22
127383,2017-02-19
127383,2017-02-28
127383,2017-03-04
127383,2017-03-12
127383,2017-03-26
127383,2017-04-09
127383,2017-04-16
127383,2017-05-01
127383,2017-05-08
127383,2017-05-28
127383,2017-06-06
127383,2017-07-02
127383,2018-03-11
127383,2018-03-18
127383,2018-04-01
127383,2018-04-08
127383,2018-04-12
127383,2018-04-15
127383,2018-04-22
127383,2018-05-18
127383,2018-05-21
127383,2018-06-03
127383,2018-06-18
127383,2018-06-29
127383,2018-07-11
127383,2018-07-15
127383,2018-07-20
